Store ID,Store Name,Item Key,Item Code / SKU,Item Name,Category / Size / Type,Current Stock Quantity,Purchase Price,Supplier Name,Unit,Box Size / Pack Size / MOQ,Stock Value,Location / Rack,Source Row Number,Source File Name
STORE-0001,Vay Incorporates,10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,4750.0,7.15,Unknown Supplier,,,33962.5,,2,STOCK 26-27.csv
STORE-0001,Vay Incorporates,10398 HG(0.5X22MM),10398 HG(0.5X22MM),10398 HG(0.5X22MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,5550.0,7.15,Unknown Supplier,,,39682.5,,3,STOCK 26-27.csv
STORE-0001,Vay Incorporates,10659 (0.45X40MM),10659 (0.45X40MM),10659 (0.45X40MM),Uncategorized,0.0,7.37,Unknown Supplier,,,0.0,,4,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1126 HG(0.5X40),1126 HG(0.5X40),1126 HG(0.5X40),Uncategorized,1550.0,7.98,Unknown Supplier,,,12369.0,,5,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1126 MT 0.5 X22,1126 MT 0.5 X22,1126 MT 0.5 X22,Uncategorized,0.0,3.08,Unknown Supplier,,,0.0,,6,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1131 0.5X40MM,1131 0.5X40MM,1131 0.5X40MM,Uncategorized,1500.0,8.91,Unknown Supplier,,,13365.0,,7,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1135 HG 0.5X40MM,1135 HG 0.5X40MM,1135 HG 0.5X40MM,Uncategorized,1000.0,7.98,Unknown Supplier,,,7980.0,,8,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,Uncategorized,4200.0,9.16,Unknown Supplier,,,38472.0,,9,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1140 HG (BAGE),1140 HG (BAGE),1140 HG (BAGE),Uncategorized,1750.0,5.7,Unknown Supplier,,,9975.0,,10,STOCK 26-27.csv
STORE-0001,Vay Incorporates,11510 (0.45X40MM),11510 (0.45X40MM),11510 (0.45X40MM),Uncategorized,500.0,7.37,Unknown Supplier,,,3685.0,,11,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),Uncategorized,700.0,7.98,Unknown Supplier,,,5586.0,,12,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1261MT 2MMX22MM,1261MT 2MMX22MM,1261MT 2MMX22MM,Uncategorized,600.0,14.41,Unknown Supplier,,,8646.0,,13,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1264 MT 0.5 X 22,1264 MT 0.5 X 22,1264 MT 0.5 X 22,Uncategorized,0.0,3.08,Unknown Supplier,,,0.0,,14,STOCK 26-27.csv
STORE-0001,Vay Incorporates,1267 HG(0.5X22MM),1267 HG(0.5X22MM),1267 HG(0.5X22MM),Uncategorized,5800.0,5.7,Unknown Supplier,,,33060.0,,15,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),Uncategorized,1300.0,13.3,Unknown Supplier,,,17219.41,,16,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),Uncategorized,4350.0,4.96,Unknown Supplier,,,21576.0,,17,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),Uncategorized,4450.0,5.7,Unknown Supplier,,,25365.0,,18,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19992 MT 0.5 X 22,19992 MT 0.5 X 22,19992 MT 0.5 X 22,Uncategorized,0.0,3.08,Unknown Supplier,,,0.0,,19,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,400.0,5.7,Unknown Supplier,,,1984.0,,20,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19994 HG(0.5X22MM),19994 HG(0.5X22MM),19994 HG(0.5X22MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,5350.0,2.15,Unknown Supplier,,,25412.5,,21,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19995 HG(0.5X22MM),19995 HG(0.5X22MM),19995 HG(0.5X22MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,850.0,4.96,Unknown Supplier,,,4216.0,,22,STOCK 26-27.csv
STORE-0001,Vay Incorporates,19996 HG(0.5X22 MM),19996 HG(0.5X22 MM),19996 HG(0.5X22 MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,8600.0,5.7,Unknown Supplier,,,49020.0,,23,STOCK 26-27.csv
STORE-0001,Vay Incorporates,2891 0.5X40MM,2891 0.5X40MM,2891 0.5X40MM,Uncategorized,2200.0,8.91,Unknown Supplier,,,19602.0,,24,STOCK 26-27.csv
STORE-0001,Vay Incorporates,2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),Uncategorized,250.0,8.91,Unknown Supplier,,,2227.5,,25,STOCK 26-27.csv
STORE-0001,Vay Incorporates,5465 (0.5X40MM),5465 (0.5X40MM),5465 (0.5X40MM),Uncategorized,2800.0,8.26,Unknown Supplier,,,23128.0,,26,STOCK 26-27.csv
STORE-0001,Vay Incorporates,7611 (0.45 X 22 MM),7611 (0.45 X 22 MM),7611 (0.45 X 22 MM),Uncategorized,3500.0,3.48,Unknown Supplier,,,12180.0,,27,STOCK 26-27.csv
STORE-0001,Vay Incorporates,REALWOOD 1 (0.45X22),REALWOOD 1 (0.45X22),REALWOOD 1 (0.45X22),Uncategorized,9900.0,3.05,Unknown Supplier,,,30195.0,,28,STOCK 26-27.csv
STORE-0001,Vay Incorporates,REALWOOD2 (0.5 X 40 MM),REALWOOD2 (0.5 X 40 MM),REALWOOD2 (0.5 X 40 MM),Uncategorized,1350.0,8.26,Unknown Supplier,,,11151.0,,29,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1003 (0.5 MM),VAY BAND 1003 (0.5 MM),VAY BAND 1003 (0.5 MM),Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,30,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1011HG(P-WHITE),VAY BAND 1011HG(P-WHITE),VAY BAND 1011HG(P-WHITE),Uncategorized,0.0,5.59,Unknown Supplier,,,0.0,,31,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,Uncategorized,0.0,7.98,Unknown Supplier,,,0.0,,32,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1011MT(P-WHITE),VAY BAND 1011MT(P-WHITE),VAY BAND 1011MT(P-WHITE),Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,33,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,Uncategorized,550.0,6.3,Unknown Supplier,,,3465.0,,34,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1013 0.8MMX22MM,VAY BAND 1013 0.8MMX22MM,VAY BAND 1013 0.8MMX22MM,Uncategorized,2700.0,6.52,Unknown Supplier,,,17604.0,,35,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,Uncategorized,3250.0,8.26,Unknown Supplier,,,26845.0,,36,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1014 SPECIAL WHITE,VAY BAND 1014 SPECIAL WHITE,VAY BAND 1014 SPECIAL WHITE,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,37,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1033MT 0.5X22MM,VAY BAND 1033MT 0.5X22MM,VAY BAND 1033MT 0.5X22MM,Uncategorized,0.0,0.0,Unknown Supplier,,,0.0,,38,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1043 (0.5 MM),VAY BAND 1043 (0.5 MM),VAY BAND 1043 (0.5 MM),Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,39,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10450,VAY BAND 10450,VAY BAND 10450,Uncategorized,3550.0,3.39,Unknown Supplier,,,12034.5,,40,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10485,VAY BAND 10485,VAY BAND 10485,Uncategorized,50.0,3.39,Unknown Supplier,,,169.5,,41,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10485 40MM,VAY BAND 10485 40MM,VAY BAND 10485 40MM,Uncategorized,3500.0,8.26,Unknown Supplier,,,28910.0,,42,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10659 0.5X22MM,VAY BAND 10659 0.5X22MM,VAY BAND 10659 0.5X22MM,Uncategorized,0.0,3.39,Unknown Supplier,,,0.0,,43,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10659 0.8MMX22MM,VAY BAND 10659 0.8MMX22MM,VAY BAND 10659 0.8MMX22MM,Uncategorized,6300.0,6.52,Unknown Supplier,,,41076.0,,44,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10659 2MMX22MM,VAY BAND 10659 2MMX22MM,VAY BAND 10659 2MMX22MM,Uncategorized,1950.0,17.37,Unknown Supplier,,,33871.5,,45,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10659 2MMX40MM,VAY BAND 10659 2MMX40MM,VAY BAND 10659 2MMX40MM,Uncategorized,350.0,31.88,Unknown Supplier,,,11158.0,,46,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10659 40MM,VAY BAND 10659 40MM,VAY BAND 10659 40MM,Uncategorized,4750.0,8.26,Unknown Supplier,,,39235.0,,47,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 10944,VAY BAND 10944,VAY BAND 10944,Uncategorized,400.0,3.39,Unknown Supplier,,,1356.0,,48,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1101HG LIGHT GREY,VAY BAND 1101HG LIGHT GREY,VAY BAND 1101HG LIGHT GREY,RX-VAYBAND-SOLID-GLOSSY-0.5*22,150.0,5.59,Unknown Supplier,,,840.0,,49,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113HG (0.8MM),VAY BAND 1113HG (0.8MM),VAY BAND 1113HG (0.8MM),Uncategorized,6200.0,7.98,Unknown Supplier,,,49476.0,,50,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113HG(OFF-WHITE),VAY BAND 1113HG(OFF-WHITE),VAY BAND 1113HG(OFF-WHITE),RX-VAYBAND-SOLID-GLOSSY-0.5*22,13850.0,5.7,Unknown Supplier,,,78945.0,,51,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,Uncategorized,3600.0,7.98,Unknown Supplier,,,28728.0,,52,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113MT (0.8MM),VAY BAND 1113MT (0.8MM),VAY BAND 1113MT (0.8MM),Uncategorized,7100.0,6.05,Unknown Supplier,,,42955.0,,53,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113MT (0.8MMX40MM),VAY BAND 1113MT (0.8MMX40MM),VAY BAND 1113MT (0.8MMX40MM),Uncategorized,1150.0,12.75,Unknown Supplier,,,14662.5,,54,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113MT(OFF-WHITE),VAY BAND 1113MT(OFF-WHITE),VAY BAND 1113MT(OFF-WHITE),Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,55,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,Uncategorized,6150.0,7.32,Unknown Supplier,,,45018.0,,56,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1113MT(OFF-WHITE)-200 MTR,VAY BAND 1113MT(OFF-WHITE)-200 MTR,VAY BAND 1113MT(OFF-WHITE)-200 MTR,Uncategorized,5200.0,2.8,Unknown Supplier,,,14560.0,,57,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114 HG2MMX22MM,VAY BAND 1114 HG2MMX22MM,VAY BAND 1114 HG2MMX22MM,Uncategorized,3800.0,18.0,Unknown Supplier,,,68400.0,,58,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114GL 0.5MMX40MM,VAY BAND 1114GL 0.5MMX40MM,VAY BAND 1114GL 0.5MMX40MM,Uncategorized,6150.0,9.18,Unknown Supplier,,,56457.0,,59,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114GL 0.8MMX22MM,VAY BAND 1114GL 0.8MMX22MM,VAY BAND 1114GL 0.8MMX22MM,Uncategorized,8600.0,7.98,Unknown Supplier,,,68628.0,,60,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114MT,VAY BAND 1114MT,VAY BAND 1114MT,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,61,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,Uncategorized,2200.0,7.32,Unknown Supplier,,,16104.0,,62,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114MT 0.8MMX22MM,VAY BAND 1114MT 0.8MMX22MM,VAY BAND 1114MT 0.8MMX22MM,Uncategorized,9000.0,6.05,Unknown Supplier,,,54450.0,,63,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1114MT 2MMX22MM,VAY BAND 1114MT 2MMX22MM,VAY BAND 1114MT 2MMX22MM,Uncategorized,2350.0,14.41,Unknown Supplier,,,33863.5,,64,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),Uncategorized,8150.0,5.7,Unknown Supplier,,,46455.0,,65,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,Uncategorized,3550.0,2.71,Unknown Supplier,,,9620.5,,66,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1127 HG (.5),VAY BAND 1127 HG (.5),VAY BAND 1127 HG (.5),Uncategorized,5350.0,4.96,Unknown Supplier,,,26536.0,,67,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1128 HG(.5),VAY BAND 1128 HG(.5),VAY BAND 1128 HG(.5),Uncategorized,6650.0,4.96,Unknown Supplier,,,32984.0,,68,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1132 0.5X22MM,VAY BAND 1132 0.5X22MM,VAY BAND 1132 0.5X22MM,Uncategorized,2050.0,3.39,Unknown Supplier,,,6949.5,,69,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1133MT0.5X22MM,VAY BAND 1133MT0.5X22MM,VAY BAND 1133MT0.5X22MM,Uncategorized,3750.0,3.08,Unknown Supplier,,,11550.0,,70,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1140 HG DARK GREY 3,VAY BAND 1140 HG DARK GREY 3,VAY BAND 1140 HG DARK GREY 3,Uncategorized,0.0,4.96,Unknown Supplier,,,0.0,,71,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 11510 2MMX22MM,VAY BAND 11510 2MMX22MM,VAY BAND 11510 2MMX22MM,Uncategorized,700.0,17.37,Unknown Supplier,,,12159.0,,72,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 11510 40MM,VAY BAND 11510 40MM,VAY BAND 11510 40MM,Uncategorized,1100.0,8.26,Unknown Supplier,,,9086.0,,73,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 11510(0.5X22),VAY BAND 11510(0.5X22),VAY BAND 11510(0.5X22),Uncategorized,200.0,3.39,Unknown Supplier,,,678.0,,74,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 11510MT 0.8MMX22MM,VAY BAND 11510MT 0.8MMX22MM,VAY BAND 11510MT 0.8MMX22MM,Uncategorized,4600.0,7.5,Unknown Supplier,,,34500.0,,75,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 HG 1.3MMX22MM,VAY BAND 1261 HG 1.3MMX22MM,VAY BAND 1261 HG 1.3MMX22MM,Uncategorized,300.0,15.9,Unknown Supplier,,,4770.0,,76,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 HG(0.8MM),VAY BAND 1261 HG(0.8MM),VAY BAND 1261 HG(0.8MM),Uncategorized,3400.0,7.98,Unknown Supplier,,,27132.0,,77,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 MAT (0.8MM),VAY BAND 1261 MAT (0.8MM),VAY BAND 1261 MAT (0.8MM),Uncategorized,1900.0,6.05,Unknown Supplier,,,11495.0,,78,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 MAT 1.3MMX22MM,VAY BAND 1261 MAT 1.3MMX22MM,VAY BAND 1261 MAT 1.3MMX22MM,Uncategorized,350.0,13.05,Unknown Supplier,,,4567.5,,79,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261HG (DARK GREY),VAY BAND 1261HG (DARK GREY),VAY BAND 1261HG (DARK GREY),Uncategorized,6600.0,2.15,Unknown Supplier,,,14190.0,,80,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261MATT (DARK GREY),VAY BAND 1261MATT (DARK GREY),VAY BAND 1261MATT (DARK GREY),Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,81,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1262 HG(0.5X22),VAY BAND 1262 HG(0.5X22),VAY BAND 1262 HG(0.5X22),Uncategorized,0.0,5.59,Unknown Supplier,,,0.0,,82,STOCK 26-27.csv
